QDM Category,Value Set OID,Value Set Name,Definition Version,Expansion Version,Value Set Type,Grouping Member OID,Grouping Member Name,Code System,Code System Version,Code System OID,eCQM Type,eCQM Title,eCQM ID,CBE Number,eCQM Version,Measure GUID,Care Setting,Supplemental
Individual Characteristic,2.16.840.1.114222.4.11.837,Ethnicity,20121025,eCQM Update 2025-05-08,Extensional,,,CDCREC,1.2,2.16.840.1.113883.6.238,Eligible Clinicians,Excessive Radiation Dose or Inadequate Image Quality for Diagnostic Computed Tomography (CT) in Adults (Clinician Level),CMS1056v3,3633e,3,3ef4413e-dc67-41bc-bbdb-862815354e34,Ambulatory,Yes
Individual Characteristic,2.16.840.1.113762.1.4.1021.121,Federal Administrative Sex,20250228,eCQM Update 2025-05-08,Extensional,,,SNOMEDCT,2024-09,2.16.840.1.113883.6.96,Eligible Clinicians,Excessive Radiation Dose or Inadequate Image Quality for Diagnostic Computed Tomography (CT) in Adults (Clinician Level),CMS1056v3,3633e,3,3ef4413e-dc67-41bc-bbdb-862815354e34,Ambulatory,Yes
Individual Characteristic,2.16.840.1.114222.4.11.3591,Payer Type,20221118,eCQM Update 2025-05-08,Intensional,,,SOP,9.2,2.16.840.1.113883.3.221.5,Eligible Clinicians,Excessive Radiation Dose or Inadequate Image Quality for Diagnostic Computed Tomography (CT) in Adults (Clinician Level),CMS1056v3,3633e,3,3ef4413e-dc67-41bc-bbdb-862815354e34,Ambulatory,Yes
Individual Characteristic,2.16.840.1.114222.4.11.836,Race,20121025,eCQM Update 2025-05-08,Extensional,,,CDCREC,1.2,2.16.840.1.113883.6.238,Eligible Clinicians,Excessive Radiation Dose or Inadequate Image Quality for Diagnostic Computed Tomography (CT) in Adults (Clinician Level),CMS1056v3,3633e,3,3ef4413e-dc67-41bc-bbdb-862815354e34,Ambulatory,Yes
Condition/Diagnosis/Problem,2.16.840.1.113883.3.464.1003.110.12.1082,Advanced Illness,20190315,eCQM Update 2025-05-08,Grouping,2.16.840.1.113883.3.464.1003.110.11.1150,Advanced Illness,ICD10CM,2025,2.16.840.1.113883.6.90,Eligible Clinicians,Screening for Abnormal Glucose Metabolism in Patients at Risk of Developing Diabetes,CMS1154v1,Not Applicable,1,20a0b54a-4973-4d5c-9518-59139eb7d334,Ambulatory,No
Condition/Diagnosis/Problem,2.16.840.1.113883.3.464.1003.110.12.1082,Advanced Illness,20190315,eCQM Update 2025-05-08,Grouping,2.16.840.1.113883.3.464.1003.110.11.1151,Advanced Illness,SNOMEDCT,"2024-09, 2024-03, 2023-09",2.16.840.1.113883.6.96,Eligible Clinicians,Screening for Abnormal Glucose Metabolism in Patients at Risk of Developing Diabetes,CMS1154v1,Not Applicable,1,20a0b54a-4973-4d5c-9518-59139eb7d334,Ambulatory,No
Condition/Diagnosis/Problem,2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,20250115,eCQM Update 2025-05-08,Grouping,2.16.840.1.113883.3.464.1003.1272,Diabetes,ICD10CM,2025,2.16.840.1.113883.6.90,Eligible Clinicians,Screening for Abnormal Glucose Metabolism in Patients at Risk of Developing Diabetes,CMS1154v1,Not Applicable,1,20a0b54a-4973-4d5c-9518-59139eb7d334,Ambulatory,No
Condition/Diagnosis/Problem,2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,20250115,eCQM Update 2025-05-08,Grouping,2.16.840.1.113883.3.464.1003.1273,Diabetes,SNOMEDCT,2024-09,2.16.840.1.113883.6.96,Eligible Clinicians,Screening for Abnormal Glucose Metabolism in Patients at Risk of Developing Diabetes,CMS1154v1,Not Applicable,1,20a0b54a-4973-4d5c-9518-59139eb7d334,Ambulatory,No
Condition/Diagnosis/Problem,2.16.840.1.113883.3.526.3.1259,Limited Life Expectancy,20250402,eCQM Update 2025-05-08,Grouping,2.16.840.1.113883.3.526.2.1353,Limited Life Expectancy,SNOMEDCT,2024-09,2.16.840.1.113883.6.96,Eligible Clinicians,Screening for Abnormal Glucose Metabolism in Patients at Risk of Developing Diabetes,CMS1154v1,Not Applicable,1,20a0b54a-4973-4d5c-9518-59139eb7d334,Ambulatory,No
Condition/Diagnosis/Problem,2.16.840.1.113762.1.4.1222.419,Prediabetes (Borderline Diabetes),20240621,eCQM Update 2025-05-08,Grouping,2.16.840.1.113762.1.4.1222.418,Prediabetes (Borderline Diabetes),ICD10CM,2025,2.16.840.1.113883.6.90,Eligible Clinicians,Screening for Abnormal Glucose Metabolism in Patients at Risk of Developing Diabetes,CMS1154v1,Not Applicable,1,20a0b54a-4973-4d5c-9518-59139eb7d334,Ambulatory,No
